City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,imbituba,-28.24,-48.67,82.4,61,20,10.29,BR,1605364003
1,bugiri,0.57,33.74,75.81,78,73,4.65,UG,1605364003
2,bredasdorp,-34.53,20.04,64.4,59,100,19.46,ZA,1605364003
3,muriwai beach,-36.82,174.45,54.0,93,0,4.18,NZ,1605364004
4,ilulissat,69.22,-51.1,12.2,66,75,24.16,GL,1605364004
5,hermanus,-34.42,19.23,61.0,73,94,4.0,ZA,1605364004
6,ixtapa,20.7,-105.2,72.0,94,75,3.36,MX,1605363739
7,victoria,22.29,114.16,73.0,76,100,1.99,HK,1605363786
8,balabac,7.99,117.06,83.14,79,0,9.93,PH,1605364004
9,rikitea,-23.12,-134.97,75.36,82,62,14.65,PF,1605364004
10,gorontalo,0.54,123.06,76.75,86,52,2.73,ID,1605363906
11,broome,42.25,-75.83,41.0,59,1,6.93,US,1605364004
12,yellowknife,62.46,-114.35,3.2,77,90,4.7,CA,1605364004
13,mitu,1.2,-70.17,84.94,62,68,3.58,CO,1605364004
14,ballangen,68.34,16.83,44.6,56,96,11.41,NO,1605364004
15,turukhansk,65.82,87.98,-12.41,90,99,3.13,RU,1605364004
16,ust-ilimsk,58.0,102.66,13.28,96,75,4.21,RU,1605364004
17,sao joao da barra,-21.64,-41.05,82.4,74,75,2.24,BR,1605363838
18,atuona,-9.8,-139.03,77.49,73,86,15.66,PF,1605364004
19,sao filipe,14.9,-24.5,82.89,57,0,6.53,CV,1605364004
20,pevek,69.7,170.31,-0.9,93,100,8.79,RU,1605364005
21,clyde river,70.47,-68.59,21.2,73,90,20.8,CA,1605364005
22,bayonne,43.33,-1.42,68.0,45,0,10.29,FR,1605364005
23,albany,42.6,-73.97,44.01,59,25,10.13,US,1605364005
24,ushuaia,-54.8,-68.3,39.2,80,75,16.11,AR,1605363933
25,longyearbyen,78.22,15.64,42.8,75,75,13.87,SJ,1605363991
26,tasiilaq,65.61,-37.64,26.6,68,75,9.17,GL,1605364005
27,chokurdakh,70.63,147.92,-19.32,88,51,5.64,RU,1605364005
28,bambous virieux,-20.34,57.76,78.01,94,40,2.24,MU,1605364005
29,esperance,-33.87,121.9,59.0,93,90,17.22,AU,1605364005
30,urubicha,-15.38,-62.95,92.98,40,56,6.24,BO,1605364005
31,xuanzhou,30.95,118.76,56.64,77,0,8.97,CN,1605364005
32,mahebourg,-20.41,57.7,75.2,94,40,2.24,MU,1605364006
33,hasaki,35.73,140.83,44.6,93,0,2.24,JP,1605364006
34,port alfred,-33.59,26.89,69.53,74,59,20.0,ZA,1605364006
35,qaanaaq,77.48,-69.36,2.05,85,92,10.85,GL,1605364006
36,hobart,-42.88,147.33,55.4,58,90,5.82,AU,1605364006
37,neiafu,-18.65,-173.98,77.0,78,20,8.05,TO,1605364006
38,zaida,34.06,72.47,59.0,87,75,3.4,PK,1605364006
39,ribeira grande,38.52,-28.7,69.8,88,40,19.46,PT,1605364006
40,puerto ayora,-0.74,-90.35,69.01,91,97,4.0,EC,1605364006
41,bluff,-46.6,168.33,63.0,60,100,8.01,NZ,1605364006
42,chumikan,54.72,135.31,25.34,94,89,20.11,RU,1605364006
43,berlevag,70.86,29.09,40.48,77,44,26.75,NO,1605364006
44,mataura,-46.19,168.86,63.0,60,100,8.01,NZ,1605364006
45,yerofey pavlovich,53.97,121.97,18.54,91,100,2.68,RU,1605364006
46,gallup,35.53,-108.74,39.2,51,1,8.05,US,1605364006
47,geraldton,-28.77,114.6,64.4,72,40,13.87,AU,1605364007
48,saint-augustin,51.23,-58.65,34.12,80,100,12.88,CA,1605364007
49,shimoda,34.67,138.95,52.0,85,0,5.82,JP,1605364007
50,georgetown,5.41,100.34,84.2,79,20,4.7,MY,1605364007
51,lavra,41.26,-8.72,62.6,93,75,16.11,PT,1605364007
52,vaini,-21.2,-175.2,75.2,88,20,5.82,TO,1605364007
53,gizo,-8.1,156.84,82.76,76,34,3.85,SB,1605364007
54,bismarck,46.81,-100.78,32.0,85,1,4.7,US,1605363962
55,beisfjord,68.38,17.6,44.6,56,70,11.41,NO,1605364007
56,coihaique,-45.58,-72.07,51.8,50,40,5.82,CL,1605364007
57,mehamn,71.04,27.85,40.24,76,22,25.9,NO,1605364007
58,masyaf,35.07,36.34,73.4,38,75,4.7,SY,1605364007
59,arraial do cabo,-22.97,-42.03,82.4,78,90,6.93,BR,1605364007
60,gravdal,68.12,13.5,46.4,70,40,17.22,NO,1605364007
61,elbrus,43.26,42.64,27.21,78,49,0.98,RU,1605364008
62,gbadolite,4.28,21.02,87.42,55,43,4.09,CD,1605364008
63,avera,33.19,-82.53,57.0,82,90,5.82,US,1605364008
64,polunochnoye,60.87,60.42,10.74,92,0,2.8,RU,1605364008
65,maningrida,-12.07,134.27,82.81,73,0,3.85,AU,1605364008
66,korla,41.76,86.15,43.65,52,67,9.17,CN,1605364008
67,delta del tigre,-34.76,-56.39,73.0,73,90,4.7,UY,1605364008
68,mar del plata,-38.0,-57.56,68.0,88,75,9.17,AR,1605364008
69,edgewater,28.99,-80.9,75.2,78,75,12.75,US,1605364008
70,ozieri,40.59,9.0,70.0,77,40,6.93,IT,1605364008
71,east london,-33.02,27.91,69.8,68,75,27.51,ZA,1605364001
72,chernyshevskiy,63.01,112.47,4.06,95,97,7.54,RU,1605364008
73,luderitz,-26.65,15.16,67.28,62,0,19.73,NA,1605364008
74,jamestown,42.1,-79.24,39.0,74,90,5.82,US,1605364009
75,thompson,55.74,-97.86,15.8,100,90,6.93,CA,1605364009
76,andradina,-20.9,-51.38,89.35,45,33,7.25,BR,1605364009
77,tawang,27.58,91.87,41.88,66,2,5.1,IN,1605364009
78,mineros,-17.12,-63.23,84.2,70,75,17.22,BO,1605364009
79,tuktoyaktuk,69.45,-133.04,10.4,92,90,27.51,CA,1605364009
80,busselton,-33.65,115.33,54.0,98,30,14.92,AU,1605364009
81,roald,62.58,6.13,50.0,66,75,10.29,NO,1605364009
82,punta arenas,-53.15,-70.92,42.8,62,75,31.09,CL,1605364009
83,aswan,24.09,32.91,85.15,19,0,8.03,EG,1605364010
84,lodwar,3.12,35.6,94.42,28,69,16.28,KE,1605364010
85,avarua,-21.21,-159.78,69.8,94,11,2.24,CK,1605364010
86,saint george,37.1,-113.58,37.4,59,20,7.16,US,1605363867
87,troitsko-pechorsk,62.71,56.2,10.87,93,84,2.75,RU,1605364010
88,ahipara,-35.17,173.17,53.82,82,0,1.79,NZ,1605364010
89,tuatapere,-46.13,167.68,63.0,60,100,8.01,NZ,1605364010
90,orshanka,56.92,47.89,18.32,94,65,4.54,RU,1605364010
91,kananga,-5.9,22.42,70.92,94,100,6.87,CD,1605364010
92,saint-philippe,-21.36,55.77,75.2,78,75,9.17,RE,1605364010
93,cidreira,-30.18,-50.21,74.57,77,0,10.0,BR,1605364010
94,thunder bay,48.4,-89.32,33.01,100,90,4.7,CA,1605363743
95,nouakchott,18.09,-15.98,96.8,8,0,17.22,MR,1605364010
96,provideniya,64.38,-173.3,18.21,89,0,7.11,RU,1605364010
97,corinto,37.94,22.96,66.0,46,3,1.99,GR,1605363857
98,omsukchan,62.53,155.8,5.18,92,100,3.18,RU,1605364010
99,chitral,35.85,71.79,44.94,59,100,7.25,PK,1605364010
100,letlhakane,-21.42,25.58,90.37,20,65,5.64,BW,1605364010
101,guane,22.2,-84.09,78.13,85,7,9.8,CU,1605364011
102,pemangkat,1.17,108.97,77.63,85,100,2.82,ID,1605364011
103,fukuma,33.77,130.47,53.01,76,10,2.24,JP,1605363752
104,baykalovo,57.4,63.77,11.77,93,74,10.45,RU,1605364011
105,byron bay,-28.65,153.62,73.4,94,75,9.17,AU,1605364011
106,kenai,60.55,-151.26,27.0,85,90,3.36,US,1605364011
107,hithadhoo,-0.6,73.08,83.95,76,100,22.06,MV,1605363810
108,castro,-24.79,-50.01,80.19,48,6,6.17,BR,1605364011
